                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8532,                 9.0946,                 2.0071,                0.06823,                0.09124,                0.07973,                0.02548,                  2.415,                 4.3423,                 1.4413,             8.3862e-05,             8.3862e-05,             8.3862e-05
                      2,                 1.8742,                 4.5786,                 1.2855,                0.79207,                 0.2176,                0.30934,                0.13568,                 1.7576,                 2.4428,                 1.2545,             0.00015245,             0.00015245,             0.00015245
                      3,                  1.619,                 3.2728,                 1.2071,                0.81608,                 0.4524,                0.51431,                0.26378,                  1.539,                 1.3393,                 1.2038,             0.00020413,             0.00020413,             0.00020413
                      4,                 1.4857,                 2.7829,                 1.1437,                0.67955,                0.54731,                0.53398,                0.28459,                 1.4841,                 1.1347,                 1.1554,             0.00017997,             0.00017997,             0.00017997
                      5,                 1.3966,                  2.565,                 1.1057,                0.74963,                0.61043,                0.61012,                0.33387,                 1.3866,                  1.038,                 1.1188,             0.00015462,             0.00015462,             0.00015462
                      6,                 1.3217,                 2.3946,                 1.0724,                0.67683,                0.62487,                0.66481,                0.35043,                 1.3728,                0.96821,                 1.1015,             0.00012928,             0.00012928,             0.00012928
                      7,                 1.2928,                 2.2748,                  1.056,                0.63928,                0.68797,                0.68858,                 0.3806,                 1.2743,                0.93307,                 1.0669,             0.00010394,             0.00010394,             0.00010394
                      8,                 1.2424,                 2.1834,                  1.037,                0.67786,                0.70234,                0.69613,                0.39406,                 1.2621,                0.89489,                 1.0566,             7.8592e-05,             7.8592e-05,             7.8592e-05
                      9,                 1.2016,                 2.1129,                 1.0264,                0.66888,                0.69629,                0.69614,                0.40373,                  1.237,                0.88044,                 1.0458,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     10,                 1.1935,                 2.0583,                 1.0149,                 0.7014,                0.68813,                0.70753,                0.41229,                 1.2279,                0.87465,                 1.0386,             2.7904e-05,             2.7904e-05,             2.7904e-05
